ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
411,Haaland,F,MCI,15.5,71.8,5.94,85,6.11,85,7.21,85,5.60,85,6.80,85
426,B.Fernandes,M,MUN,12,48.3,7.04,90,6.76,90,5.69,90,5.48,90,5.79,90
4,Gabriel,D,ARS,8,28.2,6.82,90,4.96,90,5.26,90,5.52,90,4.87,90
154,Palmer,M,CHE,9.5,10.8,4.84,85,5.77,85,4.43,85,6.47,85,5.39,85
368,Szoboszlai,M,LIV,7,41.5,5.42,90,4.90,90,4.72,90,4.91,90,4.52,90
379,Isak,F,LIV,9,14.7,4.65,80,5.28,80,4.88,80,4.92,80,4.31,80
397,Semenyo,M,MCI,8.5,27.1,5.30,85,4.42,85,5.10,85,4.04,85,4.88,85
346,Calvert-Lewin,F,LEE,6,26.2,3.62,85,5.12,85,4.51,85,5.12,85,5.20,85
106,Thiago,F,BRE,8,17.1,4.36,85,4.61,85,5.04,85,4.62,85,4.77,85
427,Mbeumo,M,MUN,8,28.9,4.79,77,5.34,77,4.41,77,4.23,77,4.50,77
165,João Pedro,F,CHE,7.5,58.5,4.91,85,4.82,85,3.62,85,5.40,85,4.47,85
356,Virgil,D,LIV,6.5,17.5,4.17,90,5.10,90,4.66,90,5.04,90,4.19,90
208,Sarr,M,CRY,6.5,6.9,3.81,80,4.43,80,4.68,80,5.44,80,4.67,80
95,O.Dango,M,BRE,6.5,1.4,4.01,80,4.51,80,5.06,80,4.47,80,4.65,80
400,Doku,M,MCI,7.5,6.4,4.93,75,4.26,75,4.86,75,3.93,75,4.67,75
452,Bruno G.,M,ARS,7,9.5,4.09,60,4.51,77,4.79,77,4.71,77,4.52,77
236,Dewsbury-Hall,M,EVE,6.5,3.5,5.03,90,4.22,90,4.32,90,4.20,90,4.80,90
542,E.Le Fée,M,SUN,6,12.3,4.95,90,4.78,90,4.46,90,4.18,90,4.08,90
366,Wirtz,M,LIV,7.5,14.7,4.33,80,4.65,80,4.43,80,4.68,80,4.19,80
480,Gibbs-White,M,NFO,8,11.7,4.38,80,3.86,80,4.63,80,4.07,80,4.94,80
237,Ndiaye,M,EVE,6,15.6,4.63,88,4.13,88,4.23,88,4.12,88,4.69,88
481,Anderson,M,MCI,6.5,10.1,4.37,85,4.29,85,4.52,85,4.07,85,4.47,85
55,Watkins,F,AVL,8,12.5,3.61,65,3.84,80,4.71,80,4.85,80,4.33,80
387,O'Reilly,D,MCI,6.5,21.7,4.01,77,3.93,77,4.79,77,3.23,77,4.64,77
428,Cunha,M,MUN,8,11.6,4.48,70,4.56,70,3.87,70,3.73,70,3.94,70
335,Stach,M,LEE,6,1.1,4.20,80,4.16,80,3.82,80,4.14,80,4.23,80
200,Lacroix,D,CHE,6,10.8,4.04,90,4.23,90,3.23,90,5.02,90,3.94,90
445,Thiaw,D,NEW,5,1.9,2.80,80,3.86,90,4.37,90,4.10,90,5.24,90
223,Mateta,F,CRY,6.5,6.3,1.38,30,4.40,75,4.60,75,5.34,75,4.58,75
68,Tavernier,M,BOU,6,1.8,3.43,85,4.37,85,3.97,85,4.37,85,4.02,85
398,Foden,M,MCI,7,5.3,4.10,70,3.84,70,4.39,70,3.53,70,4.22,70
418,Maguire,D,MUN,5,11.2,4.92,90,4.36,90,3.80,90,3.21,90,3.71,90
15,Ødegaard,M,ARS,6.5,4.2,5.02,80,3.63,80,3.84,80,3.80,80,3.63,80
229,Tarkowski,D,EVE,6,9.6,4.28,90,3.59,90,3.78,90,3.71,90,4.56,90
124,Groß,M,BHA,5.5,11.5,4.05,85,3.71,85,4.28,85,4.10,85,3.59,85
8,Calafiori,D,ARS,5.5,23,4.77,75,3.51,75,3.75,75,3.97,75,3.44,75
327,Bijol,D,LEE,5,0.3,3.74,80,3.99,80,3.40,80,3.88,80,4.23,80
94,Schade,M,BRE,6,2.8,3.40,80,3.82,80,4.29,80,3.77,80,3.93,80
123,Hinshelwood,M,BHA,6,0.3,3.91,80,3.50,80,4.19,80,3.96,80,3.34,80
203,Canvot,D,CRY,5,0.5,3.65,80,3.27,80,3.72,80,4.27,80,3.79,80
388,Guéhi,D,MCI,6,21.2,1.99,40,3.99,80,4.73,80,3.32,80,4.64,80
