ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins,10_Pts,10_xMins
426,B.Fernandes,M,MUN,12,49.6,7.40,90,7.55,90,6.15,90,5.89,90,6.31,90,6.97,90,6.27,90,7.04,90,5.75,90,6.73,90
411,Haaland,F,MCI,15.5,69.8,6.31,85,6.05,90,7.15,90,5.51,90,6.73,90,5.40,90,7.22,90,5.72,90,6.46,90,5.96,90
4,Gabriel,D,ARS,8,29.2,6.48,90,4.87,90,5.15,90,5.43,90,4.77,90,5.83,90,5.24,90,5.81,90,4.35,90,6.34,90
368,Szoboszlai,M,LIV,7,41.4,5.18,90,5.43,90,5.20,90,5.47,90,4.93,90,4.73,90,4.92,90,5.24,90,4.45,90,5.03,90
397,Semenyo,M,MCI,8.5,26.5,5.26,85,4.88,85,5.71,85,4.42,85,5.44,85,4.32,85,5.73,85,4.61,85,5.15,85,4.82,85
165,João Pedro,F,CHE,7.5,61.3,4.79,85,5.23,85,3.82,85,6.00,85,4.83,85,5.46,85,4.76,85,5.39,85,5.01,85,4.85,85
154,Palmer,M,CHE,9.5,10.5,4.74,85,5.16,85,3.81,85,5.96,85,4.77,85,5.38,85,4.76,85,5.33,85,4.94,85,4.86,85
106,Thiago,F,BRE,8,17.9,5.02,90,4.76,90,5.26,90,4.77,90,4.94,90,4.58,90,4.80,90,5.14,90,5.25,90,4.60,90
427,Mbeumo,M,MUN,8,32.6,5.32,77,5.50,77,4.51,77,4.32,77,4.62,77,5.08,77,4.59,77,5.13,77,4.22,77,4.91,77
236,Dewsbury-Hall,M,EVE,6.5,3.4,4.91,90,4.55,90,4.66,90,4.53,90,5.26,90,4.95,90,4.69,90,3.80,90,4.52,90,5.26,90
542,E.Le Fée,M,SUN,6,11.6,4.85,90,4.96,90,4.54,90,4.19,90,4.09,90,4.77,90,4.55,90,4.95,90,4.76,90,4.67,90
452,Bruno G.,M,ARS,7,8.6,4.04,60,4.43,77,4.68,77,4.62,77,4.43,77,4.97,77,4.59,77,4.91,77,4.23,77,5.29,77
480,Gibbs-White,M,NFO,8,11.9,4.91,90,4.12,90,5.01,90,4.37,90,5.37,90,4.62,90,4.03,90,4.81,90,4.52,90,4.32,90
261,Iwobi,M,FUL,5.5,1,4.11,85,4.48,85,4.96,85,4.04,85,4.53,85,4.66,85,5.35,85,4.67,85,4.26,85,4.84,85
208,Sarr,M,CRY,6.5,5.9,4.22,88,4.24,88,4.52,88,5.29,88,4.50,88,4.99,88,4.29,88,4.93,88,4.42,88,4.48,88
237,Ndiaye,M,EVE,6,15.7,4.70,88,4.38,88,4.50,88,4.37,88,5.07,88,4.77,88,4.52,88,3.68,88,4.36,88,5.07,88
12,Saka,M,ARS,9.5,9.4,2.75,35,4.42,75,4.73,75,4.64,75,4.42,75,5.10,75,4.60,75,5.02,75,4.17,75,5.53,75
155,Enzo,M,CHE,7,5.2,3.82,75,4.74,90,3.51,90,5.47,90,4.39,90,4.93,90,4.38,90,4.89,90,4.54,90,4.48,90
481,Anderson,M,MCI,6.5,9.1,4.58,90,4.50,90,4.75,90,4.26,90,4.70,90,4.21,90,4.72,90,4.36,90,4.56,90,4.48,90
15,Ødegaard,M,ARS,6.5,6.2,5.13,80,4.15,80,4.43,80,4.36,80,4.15,80,4.77,80,4.32,80,4.70,80,3.93,80,5.16,80
69,Scott,M,BOU,6,1.5,4.01,90,4.72,90,4.44,90,4.69,90,4.47,90,4.28,90,4.77,90,4.27,90,4.74,90,4.61,90
379,Isak,F,LIV,9,15.8,4.61,80,4.77,80,4.56,80,4.82,80,4.33,80,4.14,80,4.30,80,4.61,80,3.82,80,4.36,80
335,Stach,M,LEE,6,1,4.31,85,4.68,85,4.24,85,4.67,85,4.77,85,3.74,85,4.45,85,4.43,85,4.36,85,4.68,85
55,Watkins,F,AVL,8,11.9,3.90,75,3.78,80,4.73,80,4.83,80,4.29,80,4.82,80,4.32,80,4.14,80,4.90,80,4.02,80
346,Calvert-Lewin,F,LEE,6,28.3,4.09,90,4.73,90,4.15,90,4.73,90,4.80,90,3.49,90,4.41,90,4.29,90,4.30,90,4.70,90
68,Tavernier,M,BOU,6,1.7,3.49,85,4.65,85,4.19,85,4.66,85,4.24,85,3.95,85,4.74,85,3.92,85,4.72,85,4.47,85
514,Tel,M,TOT,6,0.6,3.96,70,4.58,70,4.13,70,4.56,70,4.42,70,3.79,70,4.91,70,3.82,70,4.69,70,4.14,70
79,Evanilson,F,BOU,6,2.2,3.50,80,4.56,80,4.19,80,4.63,80,4.24,80,3.96,80,4.64,80,3.93,80,4.65,80,4.44,80
41,Buendía,M,AVL,6,1.4,3.95,80,3.74,80,4.43,80,4.48,80,4.08,80,4.44,80,4.07,80,3.94,80,4.51,80,3.85,80
356,Virgil,D,LIV,6.5,18.3,3.97,90,4.71,90,4.30,90,4.66,90,3.87,90,3.62,90,3.95,90,4.28,90,3.68,90,4.24,90
200,Lacroix,D,CHE,6,10.2,4.05,90,4.14,90,3.17,90,4.95,90,3.87,90,4.22,90,4.14,90,4.35,90,3.95,90,4.32,90
241,McNeil,M,CRY,5.5,0.2,3.86,80,3.83,80,4.04,80,4.59,80,4.03,80,4.38,80,3.87,80,4.32,80,3.97,80,4.01,80
544,Xhaka,M,SUN,5.5,4.6,4.23,90,4.29,90,4.02,90,3.78,90,3.69,90,4.17,90,4.02,90,4.29,90,4.18,90,4.10,90
367,Gakpo,M,LIV,7,3.7,4.18,75,4.42,75,4.18,75,4.46,75,3.93,75,3.74,75,3.92,75,4.23,75,3.48,75,4.01,75
418,Maguire,D,MUN,5,14.1,5.02,90,4.56,90,3.95,90,3.36,90,3.89,90,4.27,90,3.95,90,4.15,90,3.25,90,4.13,90
1,Raya,G,ARS,6,35.4,4.94,90,3.60,90,3.74,90,4.09,90,3.49,90,4.32,90,3.90,90,4.34,90,3.16,90,4.70,90
11,Mosquera,D,ARS,5.5,10.2,4.90,88,3.57,88,3.75,88,4.07,88,3.47,88,4.33,88,3.88,88,4.34,88,3.12,88,4.72,88
26,Havertz,F,ARS,7.5,4.6,4.47,70,3.65,70,3.96,70,3.80,70,3.67,70,4.25,70,3.79,70,4.16,70,3.47,70,4.65,70
532,Ballard,D,SUN,5,4.7,4.29,90,4.51,90,3.80,90,3.50,90,2.91,90,4.13,90,3.72,90,4.58,90,4.34,90,3.92,90
123,Hinshelwood,M,BHA,6,0.4,4.09,80,3.68,80,4.43,80,4.18,80,3.51,80,4.00,80,4.46,80,3.58,80,3.41,80,4.36,80
127,Gomez,M,BHA,5,2.9,4.03,75,3.72,75,4.33,75,4.14,75,3.57,75,4.00,75,4.36,75,3.63,75,3.48,75,4.28,75
124,Groß,M,BHA,5.5,12.9,4.02,90,3.66,90,4.24,90,4.06,90,3.56,90,3.94,90,4.26,90,3.59,90,3.46,90,4.18,90
125,Georginio,F,BHA,5.5,1,4.02,70,3.68,70,4.26,70,4.05,70,3.48,70,3.89,70,4.29,70,3.60,70,3.45,70,4.23,70
95,O.Dango,M,BRE,6.5,1.4,3.97,80,3.79,80,4.20,80,3.75,80,3.87,80,3.63,80,3.77,80,4.10,80,4.16,80,3.63,80
8,Calafiori,D,ARS,5.5,30.1,4.73,75,3.45,75,3.65,75,3.89,75,3.36,75,4.20,75,3.73,75,4.18,75,3.04,75,4.61,75
60,Hill,D,BOU,5.5,1,2.72,90,4.51,90,3.60,90,4.23,90,3.68,90,3.29,90,4.68,90,3.27,90,4.49,90,4.07,90
398,Foden,M,MCI,7,4.6,4.01,70,3.75,70,4.29,70,3.44,70,4.11,70,3.37,70,4.29,70,3.56,70,3.92,70,3.71,70
45,McGinn,M,AVL,5.5,3.2,3.64,90,3.40,90,4.14,90,4.21,90,3.76,90,4.16,90,3.75,90,3.61,90,4.24,90,3.52,90
13,Rice,M,ARS,7.5,19.4,0.81,15,4.00,85,4.17,85,4.16,85,3.99,85,4.36,85,4.12,85,4.34,85,3.85,85,4.56,85
387,O'Reilly,D,MCI,6.5,21.5,3.96,77,3.76,77,4.56,77,3.07,77,4.43,77,2.93,77,4.44,77,3.39,77,3.86,77,3.71,77
327,Bijol,D,LEE,5,0.3,3.84,85,4.06,85,3.45,85,3.94,85,4.31,85,2.96,85,3.72,85,4.07,85,3.56,85,4.11,85
67,Rayan,M,BOU,6.5,3,3.18,85,4.05,85,3.68,85,4.04,85,3.72,85,3.50,85,4.13,85,3.48,85,4.10,85,3.90,85
70,Kluivert,M,BOU,6,1.1,3.01,80,4.10,80,3.67,80,4.11,80,3.72,80,3.44,80,4.19,80,3.42,80,4.16,80,3.93,80
43,Tielemans,M,MUN,6,2.3,4.08,80,4.03,80,3.66,80,3.54,80,3.69,80,3.87,80,3.69,80,3.87,80,3.49,80,3.81,80
464,Wissa,F,NEW,6,1.6,3.44,75,3.57,75,3.99,75,3.61,75,4.32,75,3.77,75,3.83,75,3.64,75,3.91,75,3.64,75
112,Van Hecke,D,TOT,5,9.1,3.47,90,3.84,90,3.71,90,4.24,90,3.89,90,3.01,90,4.48,90,3.03,90,4.24,90,3.73,90
366,Wirtz,M,LIV,7.5,14.3,3.85,75,4.04,75,3.86,75,4.07,75,3.66,75,3.52,75,3.65,75,3.89,75,3.33,75,3.73,75
463,Woltemade,F,NEW,6,1.7,3.47,75,3.58,75,3.93,75,3.61,75,4.22,75,3.75,75,3.80,75,3.64,75,3.87,75,3.64,75
447,Botman,D,NEW,5,0.4,3.09,75,3.50,75,3.75,75,3.68,75,4.36,75,3.88,75,3.78,75,3.69,75,4.05,75,3.62,75
423,Shaw,D,MUN,4.5,21.8,4.70,90,4.23,90,3.64,90,3.06,90,3.57,90,3.94,90,3.64,90,3.82,90,2.95,90,3.81,90
229,Tarkowski,D,EVE,6,9.4,4.12,90,3.39,90,3.56,90,3.51,90,4.29,90,4.21,90,3.58,90,2.72,90,3.34,90,4.48,90
210,Wharton,M,CRY,5.5,0.7,3.60,85,3.51,85,3.67,85,4.00,85,3.67,85,3.89,85,3.54,85,3.83,85,3.62,85,3.63,85
203,Canvot,D,CRY,5,0.5,3.64,90,3.19,90,3.69,90,4.23,90,3.76,90,4.19,90,3.30,90,3.82,90,3.54,90,3.44,90
40,Rogers,M,CHE,7.5,26.2,3.59,80,3.78,80,3.00,80,4.26,80,3.55,80,3.90,80,3.56,80,3.88,80,3.65,80,3.63,80
82,Kelleher,G,BRE,5,5.9,3.66,90,3.67,90,4.30,90,3.33,90,3.48,90,3.35,90,3.34,90,4.10,90,4.10,90,3.24,90
