ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins,10_Pts,10_xMins
411,Haaland,F,MCI,15.5,69.4,6.69,85,6.22,90,7.40,90,5.67,90,6.93,90,5.54,90,7.37,90,5.88,90,6.64,90,6.13,90
426,B.Fernandes,M,MUN,12,51.4,7.06,90,6.86,90,5.70,90,5.48,90,5.84,90,6.42,90,5.81,90,6.48,90,5.33,90,6.21,90
4,Gabriel,D,ARS,8,29.7,6.45,90,4.87,90,5.11,90,5.39,90,4.77,90,5.73,90,5.20,90,5.72,90,4.38,90,6.16,90
154,Palmer,M,CHE,9.5,10.4,4.83,85,5.08,85,3.77,85,5.88,85,4.71,85,5.30,85,4.70,85,5.26,85,4.88,85,4.79,85
165,João Pedro,F,CHE,7.5,63.8,4.82,85,5.08,85,3.75,85,5.84,85,4.71,85,5.32,85,4.64,85,5.25,85,4.89,85,4.72,85
106,Thiago,F,BRE,8,17.3,4.95,90,4.71,90,5.18,90,4.71,90,4.86,90,4.53,90,4.74,90,5.09,90,5.18,90,4.54,90
12,Saka,M,ARS,9.5,9.2,4.28,56,4.50,75,4.82,75,4.72,75,4.49,75,5.20,75,4.68,75,5.12,75,4.25,75,5.65,75
368,Szoboszlai,M,LIV,7,41.7,4.90,90,5.09,90,4.86,90,5.12,90,4.65,90,4.48,90,4.64,90,4.91,90,4.24,90,4.74,90
397,Semenyo,M,MCI,8.5,26.3,5.04,85,4.59,85,5.35,85,4.17,85,5.08,85,4.09,85,5.30,85,4.34,85,4.82,85,4.53,85
236,Dewsbury-Hall,M,EVE,6.5,3.3,4.89,90,4.53,90,4.65,90,4.51,90,5.21,90,4.93,90,4.67,90,3.79,90,4.50,90,5.26,90
427,Mbeumo,M,MUN,8,37.2,5.37,77,5.26,77,4.38,77,4.20,77,4.48,77,4.92,77,4.46,77,4.96,77,4.09,77,4.76,77
208,Sarr,M,CRY,6.5,5,4.25,88,4.29,88,4.56,88,5.30,88,4.54,88,5.04,88,4.32,88,4.97,88,4.46,88,4.52,88
13,Rice,M,ARS,7.5,18.4,3.97,64,4.37,85,4.58,85,4.54,85,4.35,85,4.84,85,4.51,85,4.80,85,4.18,85,5.12,85
480,Gibbs-White,M,NFO,8,11.8,4.97,90,4.03,90,4.88,90,4.27,90,5.24,90,4.51,90,3.95,90,4.66,90,4.41,90,4.23,90
481,Anderson,M,MCI,6.5,8.3,4.60,90,4.50,90,4.75,90,4.26,90,4.69,90,4.21,90,4.71,90,4.37,90,4.56,90,4.47,90
452,Bruno G.,M,ARS,7,5.7,2.71,40,3.44,60,4.83,80,4.77,80,4.56,80,5.13,80,4.73,80,5.07,80,4.36,80,5.47,80
69,Scott,M,BOU,6,1.5,4.04,90,4.70,90,4.43,90,4.67,90,4.46,90,4.27,90,4.75,90,4.26,90,4.73,90,4.59,90
557,Tzolis,M,ARS,6.5,23,5.42,80,4.23,80,4.50,80,4.38,80,4.12,80,4.72,80,4.22,80,4.55,80,3.77,80,4.90,80
542,E.Le Fée,M,SUN,6,10.8,4.71,90,4.77,90,4.39,90,4.07,90,3.97,90,4.59,90,4.39,90,4.76,90,4.60,90,4.50,90
379,Isak,F,LIV,9,16.5,4.69,80,4.78,80,4.53,80,4.84,80,4.34,80,4.17,80,4.32,80,4.61,80,3.84,80,4.37,80
200,Lacroix,D,CHE,6,9.3,4.42,90,4.45,90,3.46,90,5.21,90,4.17,90,4.52,90,4.43,90,4.65,90,4.25,90,4.61,90
356,Virgil,D,LIV,6.5,18.6,4.23,90,4.92,90,4.54,90,4.88,90,4.10,90,3.87,90,4.18,90,4.50,90,3.92,90,4.46,90
335,Stach,M,LEE,6,0.9,4.26,85,4.60,85,4.17,85,4.58,85,4.68,85,3.70,85,4.38,85,4.35,85,4.28,85,4.59,85
346,Calvert-Lewin,F,LEE,6,30.7,4.01,90,4.59,90,4.03,90,4.58,90,4.65,90,3.42,90,4.29,90,4.16,90,4.18,90,4.56,90
1,Raya,G,ARS,6,37.2,5.15,90,3.83,90,3.96,90,4.29,90,3.71,90,4.52,90,4.10,90,4.53,90,3.39,90,4.86,90
15,Ødegaard,M,ARS,6.5,7.5,4.89,80,3.89,80,4.12,80,4.07,80,3.87,80,4.42,80,4.03,80,4.36,80,3.69,80,4.76,80
41,Buendía,M,AVL,6,1.4,3.99,80,3.78,80,4.49,80,4.55,80,4.14,80,4.51,80,4.13,80,4.00,80,4.58,80,3.91,80
68,Tavernier,M,BOU,6,1.6,3.49,85,4.53,85,4.09,85,4.54,85,4.14,85,3.85,85,4.62,85,3.84,85,4.60,85,4.33,85
55,Watkins,F,AVL,8,10.7,3.73,75,3.63,80,4.51,80,4.60,80,4.10,80,4.60,80,4.13,80,3.97,80,4.67,80,3.86,80
155,Enzo,M,CHE,7,5,2.93,60,4.43,90,3.35,90,5.11,90,4.13,90,4.61,90,4.13,90,4.59,90,4.27,90,4.21,90
418,Maguire,D,MUN,5,17,5.10,90,4.63,90,4.06,90,3.49,90,4.00,90,4.34,90,4.06,90,4.22,90,3.38,90,4.23,90
514,Tel,M,TOT,6,0.6,3.86,70,4.29,70,3.89,70,4.29,70,4.16,70,3.59,70,4.61,70,3.61,70,4.40,70,3.91,70
124,Groß,M,BHA,5.5,14.3,4.18,90,3.80,90,4.43,90,4.24,90,3.68,90,4.09,90,4.45,90,3.72,90,3.58,90,4.36,90
532,Ballard,D,SUN,5,5.4,4.41,90,4.54,90,3.88,90,3.62,90,3.04,90,4.18,90,3.79,90,4.61,90,4.40,90,3.99,90
327,Bijol,D,LEE,5,0.3,4.07,85,4.28,85,3.68,85,4.17,85,4.52,85,3.19,85,3.94,85,4.28,85,3.79,85,4.32,85
544,Xhaka,M,SUN,5.5,4.5,4.18,90,4.22,90,3.96,90,3.74,90,3.65,90,4.10,90,3.96,90,4.22,90,4.12,90,4.04,90
112,Van Hecke,D,TOT,5,9.5,3.74,90,4.08,90,3.94,90,4.46,90,4.13,90,3.26,90,4.71,90,3.28,90,4.47,90,3.97,90
261,Iwobi,M,FUL,5.5,1,3.80,85,3.91,85,4.26,85,3.56,85,3.94,85,4.02,85,4.55,85,4.05,85,3.74,85,4.16,85
241,McNeil,M,CRY,5.5,0.2,3.77,80,3.74,80,3.93,80,4.42,80,3.92,80,4.25,80,3.76,80,4.19,80,3.86,80,3.90,80
60,Hill,D,BOU,5.5,0.9,2.90,90,4.56,90,3.71,90,4.30,90,3.78,90,3.41,90,4.73,90,3.39,90,4.55,90,4.17,90
8,Calafiori,D,ARS,5.5,36.6,4.79,75,3.51,75,3.68,75,3.92,75,3.42,75,4.19,75,3.76,75,4.18,75,3.12,75,4.55,75
95,O.Dango,M,BRE,6.5,1.2,4.00,80,3.82,80,4.22,80,3.77,80,3.89,80,3.66,80,3.80,80,4.13,80,4.19,80,3.65,80
229,Tarkowski,D,EVE,6,8.9,4.28,90,3.58,90,3.75,90,3.70,90,4.47,90,4.35,90,3.77,90,2.93,90,3.54,90,4.64,90
447,Botman,D,NEW,5,0.4,3.29,75,3.66,75,3.90,75,3.84,75,4.47,75,4.03,75,3.94,75,3.85,75,4.19,75,3.79,75
82,Kelleher,G,BRE,5,5.8,3.90,90,3.91,90,4.52,90,3.56,90,3.72,90,3.60,90,3.59,90,4.30,90,4.32,90,3.48,90
387,O'Reilly,D,MCI,6.5,21.1,4.05,77,3.83,77,4.60,77,3.17,77,4.46,77,3.04,77,4.46,77,3.49,77,3.92,77,3.78,77
367,Gakpo,M,LIV,7,3.5,4.03,75,4.21,75,3.96,75,4.25,75,3.76,75,3.59,75,3.75,75,4.02,75,3.35,75,3.83,75
203,Canvot,D,CRY,5,0.4,3.83,90,3.39,90,3.88,90,4.41,90,3.95,90,4.35,90,3.50,90,3.99,90,3.73,90,3.63,90
140,Sánchez,G,CHE,5,2.3,3.88,90,3.84,90,3.01,90,4.63,90,3.58,90,3.93,90,3.85,90,4.06,90,3.64,90,4.02,90
127,Gomez,M,BHA,5,3.5,3.89,75,3.61,75,4.18,75,4.02,75,3.48,75,3.87,75,4.21,75,3.53,75,3.40,75,4.13,75
398,Foden,M,MCI,7,4.3,4.05,70,3.73,70,4.27,70,3.42,70,4.08,70,3.35,70,4.23,70,3.55,70,3.89,70,3.68,70
569,Gonzalo,F,FUL,6,2,3.67,75,3.71,75,4.09,75,3.46,75,3.81,75,3.87,75,4.33,75,3.81,75,3.52,75,3.90,75
45,McGinn,M,AVL,5.5,3.3,3.60,90,3.38,90,4.11,90,4.17,90,3.72,90,4.12,90,3.71,90,3.59,90,4.20,90,3.49,90
123,Hinshelwood,M,BHA,6,0.4,3.89,80,3.52,80,4.22,80,4.00,80,3.38,80,3.82,80,4.25,80,3.44,80,3.29,80,4.16,80
366,Wirtz,M,LIV,7.5,13.1,3.91,75,4.07,75,3.87,75,4.11,75,3.69,75,3.55,75,3.68,75,3.91,75,3.35,75,3.76,75
423,Shaw,D,MUN,4.5,21.5,4.72,90,4.24,90,3.71,90,3.15,90,3.65,90,3.97,90,3.71,90,3.84,90,3.05,90,3.86,90
67,Rayan,M,BOU,6.5,2.8,3.23,85,4.05,85,3.68,85,4.05,85,3.72,85,3.49,85,4.12,85,3.48,85,4.10,85,3.88,85
43,Tielemans,M,MUN,6,2.5,4.13,80,4.01,80,3.66,80,3.54,80,3.69,80,3.87,80,3.69,80,3.87,80,3.49,80,3.81,80
210,Wharton,M,CRY,5.5,0.8,3.66,85,3.58,85,3.74,85,4.08,85,3.74,85,3.98,85,3.60,85,3.92,85,3.68,85,3.71,85
70,Kluivert,M,BOU,6,1.1,3.06,80,4.06,80,3.63,80,4.07,80,3.69,80,3.41,80,4.14,80,3.39,80,4.13,80,3.87,80
384,Donnarumma,G,MCI,5.5,8.4,3.81,90,3.75,90,4.37,90,3.11,90,4.32,90,2.99,90,4.21,90,3.43,90,3.75,90,3.72,90
445,Thiaw,D,NEW,5,1.7,2.96,90,3.42,90,3.77,90,3.64,90,4.53,90,3.89,90,3.79,90,3.65,90,4.12,90,3.57,90
79,Evanilson,F,BOU,6,2.2,3.14,70,3.97,70,3.65,70,4.03,70,3.70,70,3.45,70,4.03,70,3.44,70,4.05,70,3.83,70
316,Emersonn,F,IPS,5.5,0.4,3.71,85,3.53,85,3.74,85,3.74,85,3.64,85,3.98,85,3.31,85,3.89,85,3.81,85,3.86,85
385,Trafford,G,LEE,5,3,3.78,90,3.97,90,3.36,90,3.84,90,4.23,90,2.98,90,3.59,90,3.98,90,3.45,90,4.01,90
467,Sels,G,NFO,5,1.6,4.14,90,3.04,90,4.01,90,3.49,90,4.44,90,3.80,90,3.41,90,3.84,90,3.54,90,3.27,90
464,Wissa,F,NEW,6,1.6,3.45,75,3.49,75,3.89,75,3.52,75,4.21,75,3.69,75,3.73,75,3.55,75,3.81,75,3.55,75
40,Rogers,M,CHE,7.5,25,3.67,80,3.78,80,3.00,80,4.26,80,3.56,80,3.90,80,3.56,80,3.88,80,3.65,80,3.63,80
214,Kamada,M,CRY,5,0.3,3.53,85,3.48,85,3.64,85,3.99,85,3.64,85,3.88,85,3.50,85,3.82,85,3.59,85,3.61,85
61,Truffert,D,BOU,5.5,4.5,2.55,90,4.30,90,3.39,90,4.05,90,3.47,90,3.08,90,4.49,90,3.06,90,4.31,90,3.88,90
399,Cherki,M,MCI,7.5,7.8,3.91,60,3.53,60,4.12,60,3.21,60,3.91,60,3.15,60,4.08,60,3.34,60,3.71,60,3.48,60
149,Colwill,D,CHE,5,1.6,3.74,90,3.73,90,2.74,90,4.51,90,3.39,90,3.74,90,3.62,90,3.83,90,3.39,90,3.75,90
84,Collins,D,BRE,5.5,1.8,3.65,90,3.65,90,4.29,90,3.31,90,3.49,90,3.32,90,3.34,90,4.07,90,4.09,90,3.20,90
338,Ampadu,M,LEE,5.5,1.5,3.61,90,3.72,90,3.52,90,3.70,90,3.78,90,3.28,90,3.63,90,3.66,90,3.58,90,3.73,90
87,Ajer,D,BRE,4.5,2.9,3.62,85,3.64,85,4.21,85,3.32,85,3.48,85,3.33,85,3.34,85,4.01,85,4.02,85,3.22,85
26,Havertz,F,ARS,7.5,5,4.20,70,3.32,70,3.56,70,3.44,70,3.33,70,3.82,70,3.43,70,3.74,70,3.16,70,4.15,70
357,Frimpong,D,LIV,5.5,3.3,3.55,80,4.18,80,3.77,80,4.16,80,3.36,80,3.13,80,3.43,80,3.77,80,3.12,80,3.68,80
491,Igor Jesus,F,NFO,6,4.5,3.91,80,3.30,80,3.86,80,3.44,80,4.08,80,3.59,80,3.20,80,3.70,80,3.55,80,3.44,80
412,Lammens,G,MUN,5,17.1,4.47,90,3.98,90,3.55,90,3.01,90,3.46,90,3.74,90,3.53,90,3.61,90,2.93,90,3.64,90
260,Wilson,M,LEE,6.5,6.7,3.47,75,3.83,75,3.39,75,3.81,75,3.91,75,2.94,75,3.59,75,3.56,75,3.50,75,3.82,75
304,O'Shea,D,IPS,4,3.4,3.88,90,2.91,90,3.21,90,3.70,90,3.69,90,4.00,90,2.66,90,4.04,90,4.02,90,3.69,90
36,Maatsen,D,AVL,4.5,0.9,3.25,77,3.22,77,4.08,77,4.11,77,3.49,77,3.92,77,3.36,77,3.19,77,4.08,77,3.07,77
202,Richards,D,CRY,5,0.8,3.53,90,3.09,90,3.58,90,4.15,90,3.64,90,4.07,90,3.19,90,3.72,90,3.43,90,3.33,90
130,Wieffer,D,BHA,5,0.3,3.45,85,2.90,85,3.94,85,4.04,85,3.22,85,3.93,85,4.31,85,2.93,85,2.68,85,4.05,85
469,N.Williams,D,NFO,5,10.5,4.08,90,2.77,90,3.94,90,3.27,90,4.44,90,3.65,90,3.09,90,3.73,90,3.36,90,3.05,90
109,Verbruggen,G,BHA,4.5,21.3,3.58,90,2.98,90,4.04,90,3.84,90,3.21,90,3.80,90,4.05,90,2.85,90,2.64,90,3.79,90
94,Schade,M,BRE,6,3.6,3.54,80,3.39,80,3.76,80,3.34,80,3.45,80,3.24,80,3.36,80,3.67,80,3.73,80,3.23,80
371,Gravenberch,M,LIV,6,1.9,3.51,85,3.66,85,3.52,85,3.67,85,3.39,85,3.29,85,3.39,85,3.54,85,3.18,85,3.46,85
350,A.Becker,G,LIV,5.5,3.5,3.27,90,3.94,90,3.60,90,3.89,90,3.21,90,3.03,90,3.30,90,3.55,90,3.17,90,3.56,90
159,Caicedo,M,CHE,5.5,3.9,3.43,90,3.48,90,2.98,90,3.78,90,3.35,90,3.54,90,3.37,90,3.55,90,3.41,90,3.43,90
97,Jensen,M,BRE,5.5,0.2,3.46,70,3.38,70,3.60,70,3.34,70,3.41,70,3.28,70,3.35,70,3.54,70,3.57,70,3.26,70
535,Alderete,D,SUN,5,0.4,2.06,45,3.29,68,3.54,90,3.35,90,2.77,90,3.81,90,3.45,90,4.22,90,4.04,90,3.63,90
198,Henderson,G,CRY,5,2.3,2.38,60,3.06,90,3.52,90,4.07,90,3.59,90,4.00,90,3.16,90,3.64,90,3.38,90,3.27,90
113,F.Kadıoğlu,D,BHA,4.5,3,3.30,85,2.78,85,3.79,85,3.88,85,3.09,85,3.78,85,4.16,85,2.79,85,2.55,85,3.90,85
233,Mykolenko,D,EVE,4.5,1.5,3.79,90,3.07,90,3.23,90,3.20,90,3.94,90,3.84,90,3.25,90,2.49,90,3.03,90,4.12,90
471,Milenković,D,NFO,5.5,2,3.86,90,2.71,90,3.73,90,3.17,90,4.17,90,3.51,90,3.06,90,3.56,90,3.24,90,2.95,90
488,Sangaré,M,NFO,5,1.1,3.55,80,3.20,80,3.52,80,3.31,80,3.64,80,3.42,80,3.20,80,3.46,80,3.36,80,3.28,80
449,Hall,D,NEW,5,3.5,2.62,85,3.06,85,3.44,85,3.27,85,4.20,85,3.52,85,3.43,85,3.28,85,3.75,85,3.21,85
472,Murillo,D,NFO,5.5,1.5,3.83,90,2.69,90,3.71,90,3.15,90,4.13,90,3.50,90,3.03,90,3.55,90,3.22,90,2.93,90
142,James,D,CHE,5.5,9.4,3.40,70,3.42,70,2.44,70,4.19,70,3.13,70,3.54,70,3.31,70,3.62,70,3.22,70,3.46,70
223,Mateta,F,CRY,6.5,5.8,1.49,30,3.37,75,3.50,75,3.92,75,3.48,75,3.76,75,3.38,75,3.75,75,3.45,75,3.50,75
