ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins
10,Benjamin White,D,Arsenal,5.5,6.5,4.80,90,4.60,90,4.70,90,4.40,90,5.20,90,4.90,90
12,Bukayo Saka,M,Arsenal,9.5,10.4,5.80,90,5.60,90,5.70,90,5.40,90,6.10,90,5.80,90
557,Christos Tzolis,M,Arsenal,6.5,26,5.70,90,5.60,90,5.70,90,5.30,90,6.10,90,5.80,90
11,Cristhian Mosquera,D,Arsenal,5.5,5.8,4.50,90,4.30,90,4.40,90,4.10,90,4.90,90,4.60,90
1,David Raya,G,Arsenal,6,38.3,4.40,90,4.20,90,4.30,90,3.90,90,4.80,90,4.40,90
13,Declan Rice,M,Arsenal,7.5,17.1,4.30,90,4.10,90,4.20,90,3.90,90,4.60,90,4.30,90
14,Eberechi Eze,M,Arsenal,6.5,1.8,5.00,90,4.90,90,5.00,90,4.60,90,5.40,90,5.10,90
22,Ethan Nwaneri,M,Arsenal,5.5,0,2.30,90,2.10,90,2.20,90,1.80,90,2.60,90,2.30,90
23,Fabio Ferreira Vieira,M,Arsenal,5.5,0,2.30,90,2.10,90,2.20,90,1.80,90,2.60,90,2.30,90
27,Gabriel Jesus,F,Arsenal,6,0.3,1.90,90,1.70,90,1.80,90,1.40,90,2.20,90,1.90,90
4,Gabriel Magalhaes,D,Arsenal,8,29.2,5.00,90,4.80,90,4.90,90,4.60,90,5.30,90,5.00,90
18,Gabriel Martinelli Silva,M,Arsenal,6.4,0.2,2.50,90,2.30,90,2.40,90,2.00,90,2.80,90,2.50,90
3,Illan Meslier,G,Arsenal,5,0,4.40,90,4.20,90,4.30,90,3.90,90,4.80,90,4.40,90
5,Jurrien Timber,D,Arsenal,6.5,0.1,3.70,90,3.50,90,3.60,90,3.20,90,4.10,90,3.70,90
26,Kai Havertz,F,Arsenal,7.5,7.4,4.80,90,4.60,90,4.70,90,4.40,90,5.20,90,4.90,90
2,Kepa Arrizabalaga Revuelta,G,Arsenal,5,0.1,4.40,90,4.20,90,4.30,90,3.90,90,4.80,90,4.40,90
19,Martin Zubimendi Ibanez,M,Arsenal,5.5,1,3.80,90,3.60,90,3.70,90,3.40,90,4.20,90,3.90,90
20,Max Dowman,M,Arsenal,5.4,0.1,2.30,90,2.10,90,2.20,90,1.80,90,2.60,90,2.30,90
17,Mikel Merino,M,Arsenal,6,0.6,4.90,90,4.80,90,4.90,90,4.50,90,5.30,90,5.00,90
7,Myles Lewis-Skelly,M,Arsenal,5.5,0.7,3.40,90,3.20,90,3.30,90,3.00,90,3.70,90,3.40,90
16,Noni Madueke,M,Arsenal,6.4,0.3,5.70,90,5.60,90,5.70,90,5.30,90,6.00,90,5.80,90
9,Piero Hincapie,D,Arsenal,5.4,1.5,4.90,90,4.70,90,4.80,90,4.40,90,5.20,90,4.90,90
