ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins,10_Pts,10_xMins,11_Pts,11_xMins,12_Pts,12_xMins,13_Pts,13_xMins
426,Bruno Fernandes,M,MUN,12,48.3,7.14,88,5.30,80,5.11,80,5.25,79,6.36,79,5.21,79,5.97,79,5.07,79,6.12,79,5.07,79,5.87,79,5.39,79
427,Bryan Mbeumo,M,MUN,8,35.8,6.84,76,5.03,71,4.89,70,4.94,69,5.97,69,4.87,68,5.67,68,4.76,68,5.79,68,4.63,68,5.51,68,5.05,68
411,Erling Haaland,F,MCI,15.5,67.9,6.38,76,8.82,75,5.69,74,7.06,73,5.81,73,7.94,73,6.19,73,6.47,73,6.05,73,7.04,72,3.98,72,7.03,72
165,João Pedro,F,CHE,7.6,68.1,6.05,78,2.63,57,5.89,56,3.49,55,4.03,54,3.43,53,4.07,52,3.57,52,3.31,51,3.78,51,3.26,51,3.77,50
557,Christos Tzolis,M,ARS,6.5,26.1,5.94,77,5.85,74,5.43,73,4.96,73,5.95,72,5.36,72,6.05,72,5.09,72,8.05,71,5.45,71,5.16,71,5.13,71
492,Taiwo Awoniyi,F,COV,5.5,0.8,5.94,66,1.93,37,2.12,35,1.96,34,2.12,31,1.82,30,1.94,30,1.92,29,1.68,29,1.80,28,1.61,27,1.93,27
429,Marcus Rashford,M,MUN,7,1.7,5.58,74,1.82,34,1.67,31,1.51,29,1.62,26,1.29,25,1.41,24,1.19,23,1.37,23,1.08,22,1.26,22,1.14,22
379,Alexander Isak,F,LIV,9,16.4,5.44,74,3.97,57,3.68,55,3.09,54,2.91,52,2.86,51,3.04,50,2.31,49,2.80,49,2.94,48,2.77,48,3.09,48
68,Marcus Tavernier,M,BOU,6,2.4,5.32,83,4.81,81,5.14,80,5.02,80,4.38,80,5.31,80,4.12,79,5.14,79,5.04,79,5.18,79,4.49,79,4.66,79
368,Dominik Szoboszlai,M,LIV,7,43.3,5.31,86,4.92,81,4.82,81,4.16,81,4.11,81,4.18,81,4.50,81,3.68,81,4.33,80,4.42,81,4.30,81,4.95,81
367,Cody Gakpo,M,LIV,7,6.3,5.24,79,4.64,73,4.52,72,3.82,71,3.71,70,3.71,70,4.02,70,3.18,70,3.75,69,3.99,69,3.82,69,4.37,69
154,Cole Palmer,M,CHE,9.5,16,5.18,82,3.07,74,6.20,74,3.84,73,4.58,73,3.99,73,4.79,73,4.17,72,4.05,72,4.49,72,3.96,72,4.47,72
366,Florian Wirtz,M,LIV,7.5,11.4,5.02,70,4.16,61,4.01,60,3.51,60,3.39,59,3.34,58,3.58,58,2.89,58,3.34,58,3.48,58,3.39,57,3.87,57
12,Bukayo Saka,M,ARS,9.5,10.4,4.91,69,3.29,46,2.95,45,2.65,43,3.10,42,2.74,41,3.06,41,2.55,40,3.92,40,2.65,40,2.53,40,2.56,39
399,Rayan Cherki,M,MCI,7.5,10.6,4.90,76,3.41,44,2.41,42,2.60,38,2.17,37,2.70,37,2.25,37,2.31,36,2.20,36,2.42,36,1.67,36,2.42,36
569,Gonzalo García,F,FUL,6,3.8,4.90,80,4.02,55,3.35,53,3.52,51,3.50,49,4.92,48,3.57,47,3.13,47,3.56,46,2.54,45,3.37,45,3.09,45
403,Sávio,M,TOT,6.5,0.8,4.88,74,1.18,20,1.10,18,1.04,17,0.76,14,0.91,13,0.70,13,0.75,12,0.67,12,0.73,11,0.63,11,0.67,11
